Chongqing,960
Qinghai,20
Zhejiang,1500
Fujian,820
Shanxi,610
Shandong,1700
Xinjiang,30
Tianjin,3400
Hong Kong ,17552.3
Tibet,6.7
Beijing,3400
Inner Mongolia ,52
Hunan,830
Jilin,370
Gansu,150
Macau,55270.3
Anhui,1100
Hainan,680
Taiwan,1683.5
Jiangxi,700
Guangdong,1400
Henan,1500
Yunnan,300
Guizhou,510
Hebei,1000
Guangxi,530
Shanghai,9900
Liaoning,780
Jiangsu,2000
Ningxia ,231
Heilongjiang,220
Sichuan,430
Shaanxi,470
